attest/architecture_test.go	testArchitectureDomain.Validate	Compiler constraint for hostile architecture-domain fixtures; invoked by generic policy, not runtime dispatch.
attest/architecture_test.go	testArchitectureDomain.MarshalText	Compiler constraint for hostile architecture-domain fixtures; invoked by generic policy, not runtime dispatch.
attest/architecture_test.go	testArchitectureDomain.ParseCanonicalText	Compiler constraint for hostile architecture-domain fixtures; invoked by generic policy, not runtime dispatch.
attest/internal_contract_test.go	internalTestDomain.Validate	Compiler constraint for the internal contract inventory; invoked by generic policy, not runtime dispatch.
attest/internal_contract_test.go	internalTestDomain.MarshalText	Compiler constraint for the internal contract inventory; invoked by generic policy, not runtime dispatch.
attest/internal_contract_test.go	internalTestDomain.ParseCanonicalText	Compiler constraint for the internal contract inventory; invoked by generic policy, not runtime dispatch.
core/validation_json.go	strictJSONContainerKind.OffWireEnum	Compile-time marker excludes an invented wire protocol; it deliberately has no runtime call.
exchange/architecture_test.go	inventoryDocument.Validate	Compiler constraint for generic Exchange contract inventory; it deliberately has no runtime call.
exchange/architecture_test.go	inventoryDocument.MarshalJSON	Compiler constraint for generic Exchange contract inventory; it deliberately has no runtime call.
filestore/directory_read.go	directoryPosition.OffWireEnum	Compile-time marker excludes an invented wire protocol; it deliberately has no runtime call.
filestore/stream.go	streamDestination.OffWireEnum	Compile-time marker excludes an invented wire protocol; it deliberately has no runtime call.
process/contracts.go	EnvironmentMode.OffWireEnum	Compile-time marker excludes an invented wire protocol; it deliberately has no runtime call.
release/selection.go	CachedLatestState.OffWireEnum	Compile-time marker excludes an invented wire protocol; it deliberately has no runtime call.
upgrade/enums.go	TrialOutcome.OffWireEnum	Compile-time marker excludes an invented wire protocol; it deliberately has no runtime call.
